region,timestamp,pm25,AQI_Category
New Delhi-8118,2024-12-31T21:30:00.000Z,286.0,Unhealthy
New Delhi-8118,2025-01-01T01:30:00.000Z,185.0,Unhealthy
New Delhi-8118,2025-01-01T05:30:00.000Z,193.0,Unhealthy
New Delhi-8118,2025-01-01T09:30:00.000Z,196.0,Unhealthy
New Delhi-8118,2025-01-01T13:30:00.000Z,206.0,Unhealthy
New Delhi-8118,2025-01-01T17:30:00.000Z,205.0,Unhealthy
New Delhi-8118,2025-01-01T20:30:00.000Z,158.0,Unhealthy
New Delhi-8118,2025-01-02T00:30:00.000Z,174.0,Unhealthy
New Delhi-8118,2025-01-02T04:30:00.000Z,204.0,Unhealthy
New Delhi-8118,2025-01-02T08:30:00.000Z,190.0,Unhealthy
New Delhi-8118,2025-01-02T12:30:00.000Z,198.0,Unhealthy
New Delhi-8118,2025-01-02T16:30:00.000Z,291.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-02T19:30:00.000Z,210.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-02T23:30:00.000Z,220.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-03T03:30:00.000Z,180.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-03T07:30:00.000Z,431.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-03T11:30:00.000Z,208.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-03T15:30:00.000Z,261.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-03T22:30:00.000Z,195.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-04T02:30:00.000Z,167.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-04T06:30:00.000Z,416.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-04T10:30:00.000Z,352.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-04T14:30:00.000Z,283.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-04T18:30:00.000Z,308.0,Unhealthy
New Delhi-8118,2025-01-04T21:30:00.000Z,-999.0,Good
New Delhi-8118,2025-01-05T01:30:00.000Z,-999.0,Good
New Delhi-8118,2025-01-05T05:30:00.000Z,-999.0,Good
New Delhi-8118,2025-01-05T09:30:00.000Z,-999.0,Good
New Delhi-8118,2025-01-05T13:30:00.000Z,-999.0,Good
New Delhi-8118,2025-01-05T17:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-05T20:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-06T00:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-06T04:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-06T08:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-06T12:30:00.000Z,-999.0,Good
New Delhi-8118,2024-12-31T20:30:00.000Z,343.0,Unhealthy
