region,timestamp,pm25,prev_pm25,pm25_increase
New Delhi-8118,2025-01-01T00:30:00.000Z,189.0,187.0,2.0
New Delhi-8118,2025-01-01T04:30:00.000Z,170.0,154.0,16.0
New Delhi-8118,2025-01-01T05:30:00.000Z,193.0,170.0,23.0
New Delhi-8118,2025-01-01T08:30:00.000Z,202.0,176.0,26.0
New Delhi-8118,2025-01-01T10:30:00.000Z,202.0,196.0,6.0
New Delhi-8118,2025-01-01T11:30:00.000Z,204.0,202.0,2.0
New Delhi-8118,2025-01-01T13:30:00.000Z,206.0,203.0,3.0
New Delhi-8118,2025-01-01T15:30:00.000Z,211.0,196.0,15.0
New Delhi-8118,2025-01-01T16:30:00.000Z,213.0,211.0,2.0
New Delhi-8118,2025-01-01T21:30:00.000Z,173.0,158.0,15.0
New Delhi-8118,2025-01-01T23:30:00.000Z,176.0,173.0,3.0
New Delhi-8118,2025-01-02T03:30:00.000Z,167.0,140.0,27.0
New Delhi-8118,2025-01-02T04:30:00.000Z,204.0,167.0,37.0
New Delhi-8118,2025-01-02T06:30:00.000Z,209.0,204.0,5.0
New Delhi-8118,2025-01-02T08:30:00.000Z,190.0,179.0,11.0
New Delhi-8118,2025-01-02T09:30:00.000Z,213.0,190.0,23.0
New Delhi-8118,2025-01-02T10:30:00.000Z,217.0,213.0,4.0
New Delhi-8118,2025-01-02T12:30:00.000Z,198.0,191.0,7.0
New Delhi-8118,2025-01-02T13:30:00.000Z,217.0,198.0,19.0
New Delhi-8118,2025-01-02T14:30:00.000Z,262.0,217.0,45.0
New Delhi-8118,2025-01-02T15:30:00.000Z,308.0,262.0,46.0
New Delhi-8118,2025-01-04T19:30:00.000Z,254.0,208.0,46.0
New Delhi-8118,2025-01-12T19:30:00.000Z,180.0,-999.0,1179.0
New Delhi-8118,2025-01-13T02:30:00.000Z,88.0,84.0,4.0
New Delhi-8118,2025-01-13T03:30:00.000Z,106.0,88.0,18.0
New Delhi-8118,2025-01-13T04:30:00.000Z,111.0,106.0,5.0
New Delhi-8118,2025-01-13T05:30:00.000Z,121.0,111.0,10.0
New Delhi-8118,2025-01-13T07:30:00.000Z,110.0,97.0,13.0
New Delhi-8118,2025-01-13T09:30:00.000Z,114.0,104.0,10.0
New Delhi-8118,2025-01-13T11:30:00.000Z,117.0,113.0,4.0
New Delhi-8118,2025-01-13T13:30:00.000Z,123.0,117.0,6.0
New Delhi-8118,2025-01-13T14:30:00.000Z,142.0,123.0,19.0
New Delhi-8118,2025-01-13T16:30:00.000Z,151.0,127.0,24.0
New Delhi-8118,2025-01-13T17:30:00.000Z,187.0,151.0,36.0
New Delhi-8118,2025-01-13T18:30:00.000Z,188.0,187.0,1.0
New Delhi-8118,2025-01-21T02:30:00.000Z,150.0,140.0,10.0
New Delhi-8118,2025-01-21T07:30:00.000Z,142.0,84.0,58.0
New Delhi-8118,2025-01-21T11:30:00.000Z,87.0,82.0,5.0
New Delhi-8118,2025-01-21T12:30:00.000Z,100.0,87.0,13.0
New Delhi-8118,2025-01-21T13:30:00.000Z,124.0,100.0,24.0
New Delhi-8118,2025-01-21T14:30:00.000Z,161.0,124.0,37.0
New Delhi-8118,2025-01-21T15:30:00.000Z,176.0,161.0,15.0
New Delhi-8118,2025-01-21T18:30:00.000Z,160.0,156.0,4.0
New Delhi-8118,2025-02-28T20:30:00.000Z,60.0,46.0,14.0
New Delhi-8118,2025-03-01T01:30:00.000Z,46.0,43.0,3.0
New Delhi-8118,2025-03-01T02:30:00.000Z,51.0,46.0,5.0
New Delhi-8118,2025-03-01T03:30:00.000Z,69.0,51.0,18.0
New Delhi-8118,2025-03-01T06:30:00.000Z,69.0,56.0,13.0
New Delhi-8118,2025-03-01T07:30:00.000Z,70.0,69.0,1.0
New Delhi-8118,2025-03-01T11:30:00.000Z,61.0,57.0,4.0
New Delhi-8118,2025-03-01T13:30:00.000Z,44.0,42.0,2.0
New Delhi-8118,2025-03-01T15:30:00.000Z,54.0,44.0,10.0
New Delhi-8118,2025-03-01T16:30:00.000Z,62.0,54.0,8.0
New Delhi-8118,2025-03-01T17:30:00.000Z,74.0,62.0,12.0
New Delhi-8118,2025-03-01T18:30:00.000Z,75.0,74.0,1.0
New Delhi-8118,2025-03-01T19:30:00.000Z,77.0,75.0,2.0
New Delhi-8118,2025-03-02T03:30:00.000Z,57.0,45.0,12.0
New Delhi-8118,2025-03-02T04:30:00.000Z,61.0,57.0,4.0
New Delhi-8118,2025-03-02T10:30:00.000Z,18.0,12.0,6.0
New Delhi-8118,2025-03-02T11:30:00.000Z,20.0,18.0,2.0
New Delhi-8118,2025-03-02T13:30:00.000Z,27.0,19.0,8.0
New Delhi-8118,2025-03-02T14:30:00.000Z,31.0,27.0,4.0
New Delhi-8118,2025-03-02T15:30:00.000Z,39.0,31.0,8.0
New Delhi-8118,2025-03-02T16:30:00.000Z,49.0,39.0,10.0
New Delhi-8118,2025-03-02T17:30:00.000Z,61.0,49.0,12.0
New Delhi-8118,2025-03-02T18:30:00.000Z,64.0,61.0,3.0
New Delhi-8118,2025-03-02T19:30:00.000Z,84.0,64.0,20.0
New Delhi-8118,2025-03-02T21:30:00.000Z,69.0,68.0,1.0
New Delhi-8118,2025-03-03T01:30:00.000Z,55.0,49.0,6.0
New Delhi-8118,2025-03-03T02:30:00.000Z,65.0,55.0,10.0
New Delhi-8118,2025-03-03T03:30:00.000Z,109.0,65.0,44.0
New Delhi-8118,2025-03-03T09:30:00.000Z,54.0,40.0,14.0
New Delhi-8118,2025-03-03T13:30:00.000Z,48.0,33.0,15.0
New Delhi-8118,2025-03-03T14:30:00.000Z,50.0,48.0,2.0
New Delhi-8118,2025-03-03T15:30:00.000Z,58.0,50.0,8.0
New Delhi-8118,2025-03-03T16:30:00.000Z,63.0,58.0,5.0
New Delhi-8118,2025-03-03T17:30:00.000Z,66.0,63.0,3.0
New Delhi-8118,2025-03-03T18:30:00.000Z,70.0,66.0,4.0
